NAME,pop_total,households_total,zcta
ZCTA5 95346,807,398,95346
ZCTA5 95348,36663,11213,95348
ZCTA5 95350,55984,19476,95350
ZCTA5 95351,47232,13040,95351
ZCTA5 95354,26587,9100,95354
ZCTA5 95355,60470,21368,95355
ZCTA5 95356,33025,11482,95356
ZCTA5 95357,14283,4297,95357
ZCTA5 95358,30994,8263,95358
ZCTA5 95360,13690,4132,95360
ZCTA5 95361,35024,12292,95361
ZCTA5 95363,30407,8127,95363
ZCTA5 95364,0,0,95364
ZCTA5 95365,4009,1205,95365
ZCTA5 95366,18440,6473,95366
ZCTA5 95367,25303,7435,95367
ZCTA5 95368,14457,4337,95368
ZCTA5 95369,802,336,95369
ZCTA5 95370,28373,12326,95370
ZCTA5 95372,1825,664,95372
ZCTA5 95374,1652,569,95374
ZCTA5 95375,65,63,95375
ZCTA5 95376,54853,16628,95376
ZCTA5 95377,36182,9612,95377
ZCTA5 95379,3821,1503,95379
ZCTA5 95380,43731,14875,95380
ZCTA5 95382,39320,13800,95382
ZCTA5 95383,3663,1655,95383
ZCTA5 95385,671,228,95385
ZCTA5 95386,10410,2908,95386
ZCTA5 95387,1187,268,95387
ZCTA5 95388,13005,3720,95388
ZCTA5 95389,2067,347,95389
ZCTA5 95391,25193,6630,95391
ZCTA5 95401,36842,13831,95401
ZCTA5 95403,45570,16567,95403
ZCTA5 95404,37317,15642,95404
ZCTA5 95405,22811,9419,95405
ZCTA5 95407,42135,13098,95407
ZCTA5 95409,25960,11693,95409
ZCTA5 95410,642,352,95410
ZCTA5 95412,227,110,95412
ZCTA5 95415,1296,374,95415
ZCTA5 95417,208,53,95417
ZCTA5 95419,160,113,95419
ZCTA5 95420,349,183,95420
ZCTA5 95421,1453,636,95421
ZCTA5 95422,17101,5845,95422
ZCTA5 95423,3432,1599,95423
ZCTA5 95425,11410,4515,95425
ZCTA5 95426,1265,610,95426
ZCTA5 95427,609,209,95427
ZCTA5 95428,2667,972,95428
ZCTA5 95429,108,78,95429
ZCTA5 95430,0,0,95430
ZCTA5 95431,47,0,95431
ZCTA5 95432,771,331,95432
ZCTA5 95435,340,81,95435
ZCTA5 95436,5999,2382,95436
ZCTA5 95437,15106,6337,95437
ZCTA5 95439,708,276,95439
ZCTA5 95441,1842,745,95441
ZCTA5 95442,2986,1421,95442
ZCTA5 95443,70,18,95443
ZCTA5 95444,748,240,95444
ZCTA5 95445,2102,861,95445
ZCTA5 95446,4808,2452,95446
ZCTA5 95448,15868,6495,95448
ZCTA5 95449,1828,593,95449
ZCTA5 95450,215,99,95450
ZCTA5 95451,12793,4982,95451
ZCTA5 95452,1388,559,95452
ZCTA5 95453,11888,4657,95453
ZCTA5 95454,1676,728,95454
ZCTA5 95456,965,437,95456
ZCTA5 95457,3036,1419,95457
ZCTA5 95458,3365,1457,95458
ZCTA5 95459,718,328,95459
ZCTA5 95460,2144,1062,95460
ZCTA5 95461,3720,1319,95461
ZCTA5 95462,1122,612,95462
ZCTA5 95463,14,7,95463
ZCTA5 95464,2417,997,95464
ZCTA5 95465,1154,525,95465
ZCTA5 95466,582,229,95466
ZCTA5 95467,5721,2143,95467
ZCTA5 95468,1992,689,95468
ZCTA5 95469,1503,618,95469
ZCTA5 95470,6122,2182,95470
ZCTA5 95471,604,351,95471
ZCTA5 95472,28588,11608,95472
ZCTA5 95476,35139,14996,95476
ZCTA5 95480,9,1,95480
ZCTA5 95482,33396,11734,95482
ZCTA5 95485,2900,1203,95485
ZCTA5 95486,15,15,95486
ZCTA5 95488,309,220,95488
ZCTA5 95490,14627,5578,95490
ZCTA5 95492,27455,9643,95492
ZCTA5 95493,91,34,95493
ZCTA5 95494,169,80,95494
ZCTA5 95497,1200,654,95497
ZCTA5 95501,22972,9502,95501
ZCTA5 95503,24442,9976,95503
ZCTA5 95511,77,47,95511
ZCTA5 95514,81,16,95514
ZCTA5 95519,18792,7550,95519
ZCTA5 95521,21684,8860,95521
ZCTA5 95524,1770,709,95524
ZCTA5 95525,1443,733,95525
ZCTA5 95526,887,283,95526
ZCTA5 95527,708,271,95527
